,Station,Easting,Northing,Elevation,DTM,RockSurface,StationReal,RockCover,WBScode,WorkType,ExcavationType,ProfileType,SectionArea,Description,Unit,BoreClass,SupportClass,DisposalClass,StationInterval,ExcavationVolume,DisposalVolume
87,205+125.545,2612293.23,1269257.419,267.483,254.098,236.0,205125.545,-31.483,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.45879381015,NaN,NaN
88,205+128,2612294.865,1269255.588,267.342,254.098,235.5,205128.0,-31.842,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00560060535,NaN,NaN
89,205+131,2612296.84,1269253.329,267.169,254.279,235.5,205131.0,-31.669,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00518651666,NaN,NaN
90,205+134,2612298.789,1269251.048,266.997,254.279,235.5,205134.0,-31.497,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00463342194,NaN,NaN
91,205+137,2612300.711,1269248.745,266.824,254.44,236.0,205137.0,-30.824,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00436915191,NaN,NaN
92,205+140,2612302.606,1269246.42,266.652,254.44,236.0,205140.0,-30.652,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00524524773,NaN,NaN
93,205+143,2612304.475,1269244.073,266.479,255.059,236.0,205143.0,-30.479,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00516655128,NaN,NaN
94,205+146,2612306.316,1269241.704,266.307,254.991,236.0,205146.0,-30.307,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00463741557,NaN,NaN
95,205+149,2612308.13,1269239.315,266.134,256.215,236.0,205149.0,-30.134,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00537867837,NaN,NaN
96,205+152,2612309.916,1269236.904,265.962,256.215,236.0,205152.0,-29.962,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00422918575,NaN,NaN
97,205+155,2612311.674,1269234.474,265.789,257.025,236.0,205155.0,-29.789,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00555252796,NaN,NaN
98,205+158,2612313.405,1269232.023,265.617,257.025,236.0,205158.0,-29.617,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00485790044,NaN,NaN
99,205+161,2612315.106,1269229.552,265.444,257.997,236.0,205161.0,-29.444,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,1.35596865734,NaN,NaN
100,205+162.354,2612315.865,1269228.431,265.367,257.997,236.0,205162.354,-29.367,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,1.65326041509,NaN,NaN
101,205+164,2612316.787,1269227.062,265.272,257.997,236.0,205164.0,-29.272,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00565516975,NaN,NaN
102,205+167,2612318.442,1269224.559,265.099,258.122,236.0,205167.0,-29.099,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00421853389,NaN,NaN
103,205+170,2612320.07,1269222.04,264.927,258.722,236.0,205170.0,-28.927,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00544539127,NaN,NaN
104,205+173,2612321.672,1269219.503,264.754,260.002,236.143,205173.0,-28.611,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00454139605,NaN,NaN
105,205+176,2612323.25,1269216.952,264.582,260.002,236.143,205176.0,-28.439,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00504409274,NaN,NaN
106,205+179,2612324.806,1269214.387,264.409,259.154,236.143,205179.0,-28.266,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00514791676,NaN,NaN
107,205+182,2612326.339,1269211.808,264.237,262.499,236.143,205182.0,-28.094,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00503327754,NaN,NaN
108,205+185,2612327.853,1269209.218,264.064,260.798,236.143,205185.0,-27.921,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00446684122,NaN,NaN
109,205+188,2612329.347,1269206.617,263.892,260.798,236.143,205188.0,-27.749,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00566165776,NaN,NaN
110,205+191,2612330.824,1269204.005,263.719,261.985,236.143,205191.0,-27.576,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0047470775,NaN,NaN
111,205+194,2612332.285,1269201.385,263.547,261.985,236.143,205194.0,-27.404,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00453473938,NaN,NaN
112,205+197,2612333.731,1269198.757,263.374,260.8,236.143,205197.0,-27.231,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.005256894,NaN,NaN
113,205+200,2612335.164,1269196.121,263.202,261.635,236.143,205200.0,-27.059,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00488502279,NaN,NaN
114,205+203,2612336.585,1269193.479,263.029,260.961,236.0,205203.0,-27.029,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00492728708,NaN,NaN
